candidate,state,district,office,year,party,stage,sel_date,n_snapshots_available,n_pages,page_types,urlkey,n_char,n_words
Andrew Clyde,GA,9.0,house,2022,R,2,20221130113955,4,9,action;homepage;other,https://www.clyde4congress.com,39195,5906
Teresa Alonso Leon,OR,6.0,house,2022,D,2,20221223222917,4,7,homepage;issues;news;other,https://teresafororegon.com,14186,1993
Darrius Maurice Butler,GA,8.0,house,2022,D,2,20220204071757,1,1,homepage,https://www.butlerforgeorgia.com,1271,95
Benjamin Odum Souther,GA,9.0,house,2022,R,2,20220430232631,2,1,homepage,https://www.southerforcongress.com,841,100
Jake Hunsaker,UT,4.0,house,2022,R,2,20220720005305,4,14,action;biography;endorsements;homepage;issues;news;other,https://jake4congress.com,46908,6130
Shamaine Ms Daniels,PA,10.0,house,2022,D,2,20220503204105,4,7,action;biography;homepage;issues;other,http://www.danielsforcongress.org,31397,4723
Monte Hodges,AR,1.0,house,2022,D,2,20221231021651,4,5,action;homepage;issues;other,https://monteforcongress.org,7164,906
Stephen Daniel,TX,6.0,house,2022,D,2,20221208002517,4,1,homepage,https://stephendaniel.com,6640,1039
Eloise Gomez Reyes,CA,31.0,house,2022,D,2,20220319075225,1,1,homepage,http://eloiseforcongress.com,21,3
Matthew Shoemaker,OH,7.0,house,2022,R,2,20220627114333,3,2,homepage;other,https://www.votemattshoemaker.com,4001,518
Andy Kim,NJ,3.0,house,2022,D,2,20220331232226,4,4,homepage;other,https://www.andykim.com,7793,954
Jim Huff,FL,19.0,house,2022,R,2,20220929183928,3,5,biography;homepage;other,https://jimhuff4congress.com,14762,2221
Rickey Williams,TX,3.0,house,2022,R,2,20221110214430,4,6,action;biography;homepage;issues;other,https://www.rickey4congress.com/,17211,2499
Burgess Owens,UT,4.0,house,2022,R,2,20220320212736,4,7,action;biography;homepage;issues;news;other,https://burgess4utah.com,33472,4997
John Jr. Conyers,MI,13.0,house,2022,D,2,20220527025236,4,56,homepage;other,http://www.johnconyers.com,568412,5808
Juan C. Vargas,CA,52.0,house,2022,D,2,20220119004622,5,5,constituent_services;homepage;issues;other,http://votevargas.com/,8673,1181
Claire Wirth,KY,4.0,house,2022,R,2,20220522130051,4,5,biography;endorsements;homepage;issues;other,https://district4ky.com,18855,2585
Justin Olson,AZ,5.0,house,2022,R,2,20221110022015,4,1,homepage,https://votejustinolson.com,2715,359
Marc Allison Veasey,TX,33.0,house,2022,D,2,20220831021949,4,18,action;endorsements;homepage;issues;news;other,http://www.marcveasey.com,36538,4739
Annette Taddeo,FL,27.0,house,2022,D,2,20220928071640,4,8,endorsements;homepage;issues;other,http://www.annettetaddeo.com,34696,5189
Jonathan Andrew Mitchell,TX,8.0,house,2022,R,2,20220318212755,4,1,homepage,https://www.jonathanmitchellforcongress.com/,4869,743
Amerish Bera,CA,6.0,house,2022,D,2,20221209122737,4,19,action;homepage;issues;other,http://www.beraforcongress.com/,59179,8254
"Jerry Lee, Jr Carl",AL,1.0,house,2022,R,2,20221126225632,4,4,action;biography;homepage;other,https://jerrycarlforcongress.com,11064,1625
William Thompson,TX,34.0,house,2022,D,2,20220122032653,2,1,homepage,https://www.texansforthompson.com,1877,233
Don Wellington,MI,10.0,house,2022,D,2,20221207195928,2,1,homepage,https://donwellington2020.com,93,14
Molly Gray,VT,0.0,house,2022,D,2,20220816225629,4,27,action;biography;endorsements;homepage;issues;news;other,https://www.mollyforvermont.com,76579,9445
Gerald Dickinson,PA,12.0,house,2022,D,2,20220520012232,2,12,biography;endorsements;homepage;issues;news;other,https://www.jerrydickinson.com,38566,4984
Greg Casar,TX,35.0,house,2022,D,2,20220316213301,4,8,biography;endorsements;homepage;issues;news;other,https://www.casarforcongress.com,45328,6003
Colin Wilhelm,CO,3.0,house,2022,D,2,20220817231907,3,9,action;biography;homepage;issues;news;other,https://wilhelmforcolorado.com,17051,2290
Jared Craig,GA,3.0,house,2022,R,2,20221228123736,3,8,action;homepage;issues;other,https://jaredcraigforgeorgia.com,46460,6450
Devin G. Nunes,CA,22.0,house,2022,R,2,20221227204810,8,1,homepage,https://www.devinnunes.com,51553,7284
Dale Holness,FL,20.0,house,2022,D,2,20220202045617,7,8,action;biography;endorsements;homepage;issues;other,https://holnessforcongress.com,47486,6719
Amy Irene Ms. Washburn,WI,6.0,house,2022,D,2,20221203163855,5,9,homepage;other,https://washburnforwisconsinsixth.com,78847,12268
William Sreboe Prempeh,NJ,9.0,house,2022,R,2,20221206010845,4,12,action;biography;homepage;other,https://www.billyprempeh.com,27605,3876
James Paul Mr. Lankford,OK,5.0,house,2022,R,2,20221227100252,4,12,action;biography;endorsements;homepage;issues;news;other,https://www.jameslankford.com,72590,10407
Amal Torres,MD,3.0,house,2022,R,2,20220926051605,3,1,homepage,https://amalforcongress.com,1892,263
Lisa Renea Dr. Welch,TX,12.0,house,2022,D,2,20220319014026,4,2,homepage;other,https://lisawelch.org,2994,284
George Mr. Mitris,NY,25.0,house,2022,R,2,20220119050504,1,6,action;homepage;issues;other,https://www.mitrisforcongress2020.com,10192,1530
Jeff Mr. Flake,AZ,6.0,house,2022,R,2,20221226051628,4,1,homepage,http://www.jeffflake.com,2675,387
Claudia Andreana Zapata,TX,21.0,house,2022,D,2,20220528104852,4,2,homepage,https://www.conclaudia.com,5719,746
David Kim,CA,34.0,house,2022,D,2,20221221040757,4,1,homepage,https://www.davidkim2020.com,2625,268
Ford O'Connell,FL,19.0,house,2022,R,2,20220117092952,4,1,homepage,https://fordoconnell.com,1126,124
David Tadashi Ishii,WA,9.0,house,2022,D,2,20220308004647,1,1,homepage,https://www.showboatdave.com,1994,190
Jonathan Reiss,CA,25.0,house,2022,R,2,20221207142812,2,4,homepage;issues;other,https://www.reissforussenate.us,9965,1468
Sandy Roberson,NC,1.0,house,2022,R,2,20221203092323,4,1,homepage,https://www.sandyrobersonnc.com,1080,139
Rebekah Jones,FL,1.0,house,2022,D,2,20220928204259,4,20,action;biography;endorsements;homepage;issues;news;other,https://rebekahjonescampaign.com,114276,15374
Dan Rodimer,NV,3.0,house,2022,R,2,20220930130323,3,18,homepage;news;other,https://www.danrodimer.com,104828,15115
Matthew Burril,NC,11.0,house,2022,R,2,20220319170858,3,6,action;biography;homepage;issues;news;other,https://burrilforcongress.com,25830,3610
Kyle Stonner Labrue,MO,4.0,house,2022,R,2,20220425115326,2,1,homepage,https://www.kylelabrue.com,2587,327
Dustin Roberts,OK,2.0,house,2022,R,2,20220813144156,3,3,homepage;news;other,https://dustinrobertsforcongress.com/,6381,878
Young Mayberry,AZ,6.0,house,2022,R,2,20220630195552,4,1,homepage,https://youngmayberryforushouse.com,4386,641
Sean Harrison,CA,10.0,house,2022,R,2,20220508195235,1,4,homepage;other,https://seanrharrison.com,6485,876
Paul Cook,CA,8.0,house,2022,R,2,20220327063444,3,9,action;biography;homepage;issues;news;other,http://www.joinpaulcook.com/,20804,2774
Asif Dr. Mahmood,CA,40.0,house,2022,D,2,20220928190500,4,25,action;biography;endorsements;homepage;issues;other,https://www.drasifmahmood.com/,67184,8599
Neil L Durrance,TX,26.0,house,2022,D,2,20220128195910,1,1,homepage,https://www.neildurrance.com,1175,196
Nat Robertson,NC,4.0,house,2022,R,2,20220206211118,1,4,action;biography;homepage;issues,https://natrobertson.org,6795,943
Robert James Iii Kennedy,PA,6.0,house,2022,R,2,20221111142638,1,10,action;biography;homepage;issues;other,https://bobkennedyforcongress.com,20283,2673
Heerak Christian Dr. Kim,VA,8.0,house,2022,R,2,20221205074949,4,1,homepage,https://heerak4congress.com,945,89
Brandon Lape,OH,12.0,house,2022,R,2,20221126192855,4,2,homepage,https://lapeforohio.com/,4293,483
Christina Hale,IN,5.0,house,2022,D,2,20221111180020,4,2,homepage;other,https://www.haleforcongress.com,1771,289
W Blaine Luetkemeyer,MO,3.0,house,2022,R,2,20221128230758,4,1,homepage,https://www.blaineforcongress.com,7678,771
Josiah Oneil,CA,49.0,house,2022,R,2,20220602222537,2,1,homepage,https://www.oneilforcongress.com,2271,355
Julia Brownley,CA,26.0,house,2022,D,2,20221210012600,4,2,homepage;other,https://www.juliabrownley.com/,14173,2094
Jason T Smith,MO,8.0,house,2022,R,2,20220926162114,4,7,biography;homepage;news;other,https://electjasonsmith.com,178197,27727
Juan Ciscomani,AZ,6.0,house,2022,R,2,20220908103743,4,3,biography;homepage;other,http://www.juanciscomani.com/,7080,1044
Jonathan Jenkins Jenkins,MD,6.0,house,2022,R,2,20220925005042,4,32,action;biography;homepage;issues;news;other,https://www.vote4jenkins.us,123900,14686
Mckayla Nicollette Wilkes,MD,5.0,house,2022,D,2,20220718005744,4,2,homepage,https://www.mckaylawilkes.com,8348,1130
Joseph E. Webster,HI,2.0,house,2022,R,2,20221202120238,2,2,homepage,https://joewebsterforcongress.com,4369,507
James French Hill,AR,2.0,house,2022,R,2,20220622002700,4,6,action;biography;endorsements;homepage;issues;other,https://www.electfrench.com,44406,6584
Donna Shalala,FL,27.0,house,2022,D,2,20221209094644,4,8,action;biography;endorsements;homepage;issues;news;other,https://donnashalala.com,31744,4469
Willie Vasquez Ng,TX,28.0,house,2022,R,2,20221112132622,3,1,homepage,https://www.williefortexas.com,1929,243
Michael Stephan Ackerman,NC,5.0,house,2022,R,2,20220702021620,3,1,homepage,https://www.ackermanfornc.com,1608,135
 Hoggatt,LA,3.0,house,2022,R,2,20221203115357,3,5,action;biography;homepage;issues;other,https://hoggattforcongress.com,18540,2774
Greg Steube,FL,17.0,house,2022,R,2,20220319195953,4,1,homepage,https://www.electgregsteube.com/,1889,242
Ann Marie Danimus,WA,5.0,house,2022,D,2,20220321121705,4,10,action;endorsements;homepage;issues;other,https://www.vote4annmarie.com,22964,3176
Jon Ivy,CA,7.0,house,2022,R,2,20220319071805,4,6,action;biography;homepage;news;other,https://www.jonivy.com/,20412,2819
John E Jr Barnes,OH,11.0,house,2022,D,2,20220330075501,1,1,homepage,https://votebarnes.com,805,109
Brittany T Oliver,MD,2.0,house,2022,D,2,20220207092152,1,2,homepage;other,https://brittanyformaryland.com,2605,329
Peter Mr. Meijer,MI,3.0,house,2022,R,2,20220331131718,3,2,homepage;issues,https://www.votemeijer.com,11053,1576
Paul King,NY,5.0,house,2022,R,2,20221226052024,4,13,action;homepage;news;other,https://paulkingforcongress.com,31934,4049
Donald Valdez,CO,3.0,house,2022,D,2,20220123025646,4,1,homepage,https://www.donaldvaldez.com,7986,1232
Jameson Ellis,TX,2.0,house,2022,R,2,20220609122051,4,3,homepage;other,https://jamesonellis.com,14492,1925
Alan Darnowsky,OH,2.0,house,2022,D,2,20220930183252,1,1,homepage,http://alan4congress.com/,24395,3909
Katherine Clark,MA,5.0,house,2022,D,2,20220927153613,4,4,biography;homepage;issues;other,https://www.katherineclark.org/,14796,2129
Frederica S. Wilson,FL,24.0,house,2022,D,2,20221130210217,4,1,homepage,http://www.fredericawilsonforcongress.com/,1986,268
Robert Christian Castelli,NC,6.0,house,2022,R,2,20220830162711,2,1,homepage,https://www.castellifornc.com,2959,397
Chad Conerly,LA,5.0,house,2022,R,2,20221214185049,4,1,homepage,https://conerlyforcongress.com,142,19
Patrick John Mr. Hahn,NY,1.0,house,2022,R,2,20220331031610,3,9,action;biography;homepage;news;other,https://www.hahn-ussenate2022.com,26661,3967
Santiago David Goenaga-Torres,CO,5.0,house,2022,D,2,20220925051850,4,22,action;biography;homepage;issues;other,https://davidtorres4congress.com,81206,10479
David Daniel Boren,OK,2.0,house,2022,D,2,20220328224159,1,1,homepage,http://www.borenforcongress.com,4490,96
Michael Ortega,CA,46.0,house,2022,D,2,20220214112730,4,2,action;homepage,https://www.ortegaforcongress.com,6556,992
Curtis Calabrese,FL,22.0,house,2022,D,2,20220521020045,1,1,homepage,https://www.curtisforcongress.com,2795,393
Robert Michael Cpt Cornicelli,NY,2.0,house,2022,R,2,20220121022744,8,1,homepage,https://www.cornicelliforcongress.com,3547,514
Lawrence Zidovsky Dr Lazor,CT,1.0,house,2022,R,2,20221203221412,4,10,biography;homepage;news;other,https://lazorforcongress.com,38035,5795
Jonathan Karlen,MO,3.0,house,2022,D,2,20220615004827,4,9,action;biography;homepage;issues;news;other,https://www.karlen4missouri.com,18599,2633
Blake Moore,UT,1.0,house,2022,R,2,20220627170104,4,7,action;biography;homepage;issues;other,http://electmoore.com/,52356,7873
Jesus Rene Jr. Lopez,AZ,9.0,house,2022,R,2,20221112090908,4,6,action;biography;homepage;issues;news;other,https://renelopezforcongress.com,15588,2328
Timothy David Geist,CA,1.0,house,2022,R,2,20221209154927,4,1,homepage,https://electtimgeist.com,2570,322
Hector Mr Tavarez,NJ,2.0,house,2022,D,2,20220327165901,4,8,action;homepage;other,https://tavarez2022.com/,23334,3009
Justin Dale Snider,MO,7.0,house,2022,R,2,20220127141551,1,1,homepage,https://justindsnider.org,762,109
C. A. Dutch Ruppersberger,MD,2.0,house,2022,D,2,20220326041245,4,15,endorsements;homepage;issues;news;other,http://www.dutchforcongress.com,45860,6330
Scott Hon. Desjarlais,TN,4.0,house,2022,R,2,20220926184914,4,8,action;homepage;issues;other,https://www.scottdesjarlais.com,41572,5321
Alexandra Hunt,PA,3.0,house,2022,D,2,20220526205300,4,7,action;biography;homepage;issues;other,https://www.alexandramhunt.com,71533,10220
Thomas H. Massie,KY,4.0,house,2022,R,2,20220320061702,2,3,action;homepage,https://www.thomasmassie.com,18070,2273
Thad Chalmers Cooperrider,OH,15.0,house,2022,R,2,20220512172034,3,2,biography;homepage,https://www.thadcooperrider.com,9368,1506
Mike Mr. Thompson,CA,4.0,house,2022,D,2,20220928210026,4,1,homepage,https://mikethompsonforcongress.com,2963,382
Tamika Hamilton,CA,6.0,house,2022,R,2,20220927140240,4,11,action;biography;endorsements;homepage;issues;news;other,https://www.votetamika.org,27458,3455
Ken Mckim,NC,14.0,house,2022,R,2,20220314182534,1,1,homepage,https://mckimforcongress.com,5706,853
Jennifer Pingley,MD,1.0,house,2022,D,2,20220103005736,1,2,homepage;issues,https://www.electjenrn.com,1926,175
Jacob Turk,MO,5.0,house,2022,R,2,20221104214347,1,2,biography;homepage,https://www.jacobturkforcongress.com,6349,945
Loren Culp,WA,4.0,house,2022,R,2,20220324011229,3,10,action;homepage;issues;other,https://culpforcongress.com,38180,5496
Doyle Canning,OR,4.0,house,2022,D,2,20221206103957,4,1,homepage,https://www.canningforcongress.com/,3184,438
Dylan Conley,RI,2.0,house,2022,D,2,20221203231007,3,24,biography;constituent_services;homepage;news;other,https://conleyforcongress.com,85030,11327
Eddie Zamora,TX,15.0,house,2022,R,2,20220813192327,3,28,homepage;news;other,https://www.eddiezamoraforcongress.com,209978,30852
Glenn S. Grothman,WI,6.0,house,2022,R,2,20221223221407,4,2,action;homepage,https://www.glenngrothman.com,3880,348
S. Raja Krishnamoorthi,IL,8.0,house,2022,D,2,20220615222645,4,24,biography;endorsements;homepage;issues;news;other,https://www.rajaforcongress.com,89864,11336
Diana Harshbarger,TN,1.0,house,2022,R,2,20221112121159,4,2,homepage;other,https://www.votediana.com,18442,2806
Brad Sherman,CA,32.0,house,2022,D,2,20221210230015,5,14,biography;endorsements;homepage;issues;news;other,http://bradsherman.com,59667,8184
Janet L Folger Porter,OH,13.0,house,2022,R,2,20220331231037,1,2,homepage;news,https://www.janetfolgerporter.com,6061,806
Jessica Jeane Ms King,WI,6.0,house,2022,D,2,20221203065844,4,9,homepage;news;other,https://www.jessicakingforwisconsin.com,11987,1732
Sterling Irwin Schwab,NJ,7.0,house,2022,R,2,20220816010126,4,4,homepage;other,https://schwabforcongress.com,4158,515
James L. Pruden,FL,23.0,house,2022,R,2,20220820043453,3,6,action;homepage;issues;other,https://www.jimprudenforcongress.com/,69200,10234
Kenny E Mr. Marchant,TX,24.0,house,2022,R,2,20221019051940,1,1,homepage,https://www.kennyforcongress.com,93,14
Brett J Guillory,TX,38.0,house,2022,R,2,20220318210954,3,6,biography;homepage;issues;news;other,https://brettguilloryforcongress.com,26464,3853
Keith A Washington,MD,5.0,house,2022,D,2,20221201135506,3,6,action;homepage;issues;other,https://keithwashingtonforcongress.com,20014,3051
Bridie Farrell,NY,21.0,house,2022,D,2,20220525154238,4,2,homepage,https://bridieforus.com,4562,677
Clifford James Detemple,WI,5.0,house,2022,R,2,20221109101837,3,6,homepage;issues;other,https://www.detemple.us,5405,572
Karen Carter Peterson,LA,2.0,house,2022,D,2,20221219220004,4,5,action;endorsements;homepage;other,https://karencarterpeterson.com,30021,4359
Marcy Kaptur,OH,9.0,house,2022,D,2,20220524063138,2,1,homepage,https://marcykaptur.com,1607,224
Bradley S. Schneider,IL,10.0,house,2022,D,2,20220126142117,6,2,homepage;other,http://www.schneiderforcongress.com,2917,346
Michael David Pierce,IL,11.0,house,2022,R,2,20221206181545,4,1,homepage,https://pierce4congress.com,4835,734
Kara Hahn,NY,1.0,house,2022,D,2,20220526022719,4,5,action;endorsements;homepage;issues;other,https://karaforcongress.com/,12227,1889
Earl Blumenauer,OR,3.0,house,2022,D,2,20221223210446,4,1,homepage,http://www.earlblumenauer.com,397,37
Joseph Alfonso,MI,4.0,house,2022,D,2,20220512211131,1,1,homepage,https://alfonsoforcongress.com,8276,827
T. Jonathan Ossoff,GA,6.0,house,2022,D,2,20220615043126,4,10,biography;homepage;news;other,https://electjon.com/,47843,6706
Greg Stanton,AZ,4.0,house,2022,D,2,20221209122242,4,13,constituent_services;homepage;issues;news;other,https://stantonforarizona.com,22980,2725
Joel Iii Newby,OH,15.0,house,2022,D,2,20221110093824,3,1,homepage,https://www.joelnewby.com,1453,198
Sarah Smith,WA,9.0,house,2022,D,2,20221110041110,5,4,homepage;other,https://www.votesarahsmith.com/,12515,1788
Ben Sorensen,FL,23.0,house,2022,D,2,20220818145829,2,9,homepage;other,https://www.bensorensen.com,19140,2676
Steve Mr. King,IA,4.0,house,2022,R,2,20221224085406,4,1,homepage,http://www.steveking.com,7040,1074
Karl W. Miller,FL,18.0,house,2022,R,2,20220929105758,4,3,homepage;other,https://www.americafirstpc.org,2463,252
David Beckwith,VA,10.0,house,2022,R,2,20220306190606,2,1,homepage,https://davebeckwithforcongress.com,2566,278
David S. Schweikert,AZ,6.0,house,2022,R,2,20220411001049,4,13,action;biography;homepage;issues;other,http://www.davidschweikert.com,13064,1643
Brad Zaun,IA,3.0,house,2022,R,2,20220320041644,1,1,homepage,https://www.bradzaun.com,93,14
Debbie Wachspress,PA,1.0,house,2022,D,2,20220926224817,4,31,homepage;news;other,http://www.wachspressforcongress.com,83500,11436
Timothy Daniel Dr. M.D. Bilash,CA,50.0,house,2022,D,2,20220408202457,2,6,homepage;other,https://votedrtim.com,6360,799
Jessie Mr Turner,NV,1.0,house,2022,R,2,20220304095135,2,1,homepage,https://jessieturnerfornvdistrict1.com,1549,236
Bryan Trouten,MI,5.0,house,2022,R,2,20221107232700,3,1,homepage,https://troutenforcongress.com,3559,541
Geoffrey M Young,KY,6.0,house,2022,D,2,20220327030509,4,13,homepage;other,https://www.young4ky.com/,50760,7753
Ed Mr. Royce,CA,39.0,house,2022,R,2,20221130181700,4,10,action;biography;homepage;issues;other,https://www.edroyce.com,21438,2730
Lateresa Ann Jones,FL,10.0,house,2022,R,2,20220113172543,1,2,homepage;other,https://lajonesforcongress.com,454,51
Riley Moore,WV,2.0,house,2022,R,2,20220811172802,4,2,action;homepage,https://mooreforwv.com,2248,258
Charlotte Macbagito,GA,5.0,house,2022,D,2,20220524193429,2,3,biography;homepage;issues,https://www.charlotteforcongress.com,13086,1853
Stephen A Labate,NY,3.0,house,2022,R,2,20221128195550,2,5,homepage;news;other,https://www.labateforcongress.com,21777,3099
Edwin Rutsch,CA,8.0,house,2022,D,2,20221130210159,3,1,homepage,https://edwinforcongress.com,1732,199
Adam Martin,OK,1.0,house,2022,D,2,20220202231014,3,5,action;homepage;issues;other,https://www.martinforcongress.com,11024,1441
Raul Ruiz,CA,36.0,house,2022,R,2,20220930170802,4,1,homepage,https://ruiz.house.gov,2909,303
Michael Raymond Sisco,WV,1.0,house,2022,R,2,20220126133722,1,1,homepage,https://sisco2022.com,297,36
Ruben Landon Dante,TX,14.0,house,2022,R,2,20220318212525,1,5,biography;homepage;other,https://www.rldforcongress.com,23527,3495
Nancy Dailey Slotnick,WA,10.0,house,2022,R,2,20221206015115,4,4,action;biography;homepage,https://www.nancyforus.org,5242,758
Edward A. Sundquist,NY,23.0,house,2022,D,2,20220817124357,4,1,homepage,http://www.eddiesundquist.com,1561,205
Greg Hill,TX,22.0,house,2022,R,2,20220319043610,2,4,biography;homepage;other,https://www.electgreghill.com,12953,2025
Ron Gould,AZ,4.0,house,2022,R,2,20220410110340,3,14,homepage;other,https://www.rongould.com,12658,1134
Derek Kilmer,WA,6.0,house,2022,D,2,20221224044405,4,6,action;biography;endorsements;homepage;issues,https://www.derekkilmer.com,18269,2413
Brian W Jones,CA,50.0,house,2022,R,2,20220913143949,4,1,homepage,https://electbrianjones.com,3576,465
Travis R. Mr. Clark,WI,4.0,house,2022,R,2,20221112014758,1,1,homepage,https://www.clarkforuscongress.com,1891,266
Gena L Dr Ross,MO,6.0,house,2022,D,2,20220310170734,4,10,action;biography;endorsements;homepage;issues;other,https://rossforussenate.com,45637,5968
Daniel Feehan,MN,1.0,house,2022,D,2,20220327153201,1,1,homepage,https://www.danfeehan.com,146,23
Charles Brent Roberson,NC,1.0,house,2022,R,2,20221110104458,3,4,biography;homepage;issues;other,https://www.brentroberson2022.com,9392,1445
Julie Hall,MA,4.0,house,2022,R,2,20220520081237,2,12,action;biography;homepage;issues;news;other,https://hallforcongress.com,237286,35861
Albert Goldberg,NV,3.0,house,2022,R,2,20220529201818,1,1,homepage,https://www.albertgoldbergforcongress.com,5311,852
Michelle Munroe,GA,1.0,house,2022,D,2,20220318055639,3,2,homepage;other,https://www.munroeforcongress.com,3862,519
Scott Fitzgerald,WI,5.0,house,2022,R,2,20220319233619,1,1,homepage,https://www.scottfitzgeraldforcongress.com,2956,392
William Wade Burleson,OK,3.0,house,2022,R,2,20221111144247,2,4,homepage;other,https://www.burlesonforcongress.com,16413,2349
Zachary Fleming Mulholland,OR,4.0,house,2022,D,2,20220216075719,1,1,homepage,https://www.zacharymulhollandforcongress.com,2462,325
Susan Narvaiz,TX,35.0,house,2022,R,2,20220319004955,3,9,action;biography;constituent_services;homepage;issues;news;other,https://www.susanforcongress.com,20104,2698
Martha Mcsally,AZ,2.0,house,2022,R,2,20220523012335,3,4,biography;homepage;issues;news,https://mcsallyforsenate.com,64478,9831
Christina Ellen Mrs. Fitchett-Hickson,MI,5.0,house,2022,R,2,20220729210440,4,1,homepage,https://electchristinafitchetthickson.com,17094,2827
Jason Preston,UT,3.0,house,2022,R,2,20220315183546,4,8,action;biography;homepage;issues;other,https://www.prestonforcongress.com,15941,2198
Rosa L Delauro,CT,3.0,house,2022,D,2,20221225204520,4,18,action;biography;endorsements;homepage;issues;news;other,http://www.rosadelauro.com,111766,16833
Stewart Navarre,VA,1.0,house,2022,D,2,20220401012137,2,1,homepage,https://stewartnavarre.com,3192,496
Thomas F Iii Leatherwood,TN,8.0,house,2022,R,2,20221005024713,3,1,other,https://www.votetomleatherwood.com,3804,154
Kevin Mullin,CA,15.0,house,2022,D,2,20221129183420,4,11,endorsements;homepage;issues;other,https://www.kevinmullinforcongress.com,36928,4256
Ben Dewell,CA,20.0,house,2022,D,2,20220812232932,4,7,homepage;other,https://bendewell.com,23423,3302
Eddison T Walters,AL,7.0,house,2022,D,2,20221110055800,3,2,homepage,https://eddisonwaltersforcongress.com,1656,198
Brent Feher,KY,2.0,house,2022,R,2,20221112020103,3,5,action;biography;homepage;issues,https://www.brentfeher.com,27778,4621
Jeremiah Landin,TX,31.0,house,2022,D,2,20221110040006,1,1,homepage,https://landinforcongress.com,980,123
Debesh Sarkar,NC,4.0,house,2022,R,2,20221126223439,4,6,action;homepage;issues;news;other,http://www.debeshsarkar2020.com,7501,1097
Ilhan Omar,MN,5.0,house,2022,D,2,20221217140400,4,23,action;biography;endorsements;homepage;issues;news;other,https://ilhanomar.com,64887,8293
Madeleine Dean,PA,4.0,house,2022,D,2,20220325162559,3,2,homepage;issues,https://www.mad4pa.com/,24502,3531
Kevin Sean Roberts,OK,3.0,house,2022,R,2,20220306195236,1,1,homepage,https://seanrobertsforcongress.com,1600,209
Christopher Chris West,GA,2.0,house,2022,R,2,20221208201033,4,9,action;biography;homepage;issues;news,https://chriswestga.com,13882,1587
Lisa Bartlett,CA,49.0,house,2022,R,2,20221201060038,4,4,homepage;issues;other,https://www.lisabartlettforcongress.com,7634,950
Brian Hawkins,CA,25.0,house,2022,R,2,20220618143726,2,2,endorsements;homepage,https://hawkinsforcongress2022.com,1935,257
Mary Burkett,UT,2.0,house,2022,R,2,20220607225531,1,1,homepage,https://www.burkett4utah.com,2364,335
Corinna Balderramos Robinson,FL,21.0,house,2022,D,2,20221223220125,4,9,action;biography;endorsements;homepage;issues;news;other,https://www.corinnaforflorida.us/,18463,2429
Lily Tang Williams,NH,2.0,house,2022,R,2,20220621151420,4,3,homepage;other,https://www.lilytangwilliams.com/,3199,442
Nancy Soderberg,FL,6.0,house,2022,D,2,20220331005034,1,1,homepage,https://www.soderbergforcongress.com,146,23
Patrick Delices,NY,16.0,house,2022,R,2,20220924185656,4,1,homepage,https://www.voteforpatrickdelices.com,5859,785
Meagan Myers Hanson,GA,6.0,house,2022,R,2,20221204051550,4,7,action;biography;homepage;issues;news;other,https://www.meaganhanson.com,15421,2106
Matthew Brock,CA,4.0,house,2022,R,2,20221110105147,3,4,homepage;issues;other,https://www.brock4congress.com,7567,1081
Mike Quigley,IL,5.0,house,2022,D,2,20221110144103,6,9,action;biography;endorsements;homepage;issues;news;other,http://www.quigleyforcongress.com,35490,4717
Dina Titus,NV,1.0,house,2022,D,2,20221217181258,4,5,endorsements;homepage;other,http://www.dinatitus.com,28072,4059
Heidi St. John,WA,3.0,house,2022,R,2,20220213214644,8,12,action;biography;endorsements;homepage;issues;other,https://www.heidistjohnforcongress.com,41145,5749
Root Routledge,CO,3.0,house,2022,D,2,20221110035810,4,1,homepage,https://rootforcitizencongressman.org,41133,6157
Greg Gianforte,MT,0.0,house,2022,R,2,20221228205425,4,3,biography;homepage;other,http://gregformontana.com/,3596,508
Tom Malinowski,NJ,7.0,house,2022,D,2,20220928033055,4,12,action;biography;endorsements;homepage;issues;news;other,https://malinowskifornj.com/,80582,11767
Charles West,MO,6.0,house,2022,D,2,20220815090553,4,7,action;biography;endorsements;homepage;issues;other,https://www.charleswestforcongress.org,34837,5336
Eugene Depasquale,PA,10.0,house,2022,D,2,20220319131438,2,3,biography;homepage;issues,https://www.eugeneforcongress.com,10262,1522
Kevin Alan Wolff,NC,13.0,house,2022,R,2,20221111130515,1,1,homepage,https://www.kevinalanwolff.us,2544,349
Jessica Allison Fore,GA,10.0,house,2022,D,2,20220119054459,3,1,homepage,https://www.jessicaforega.com,8145,1270
Thomas W Reed,NY,23.0,house,2022,R,2,20221220170756,4,46,homepage;news;other,https://www.tomreedforcongress.com,588976,80298
Abhiram Garapati,TX,31.0,house,2022,R,2,20221112034625,3,1,homepage,https://www.garapatifortexas.com,400,35
Jason Randolph Potell,CA,32.0,house,2022,D,2,20221111211713,3,5,action;biography;homepage;other,https://potellforcongress.com,38790,5672
Shrina Kurani,CA,41.0,house,2022,D,2,20220615020649,4,3,biography;homepage;other,https://www.shrinakurani.com,44673,6761
Louis Gohmert,TX,1.0,house,2022,R,2,20221217234855,4,6,action;biography;homepage;news;other,https://www.gohmert.com,11375,1467
Paul Broun,GA,10.0,house,2022,R,2,20221206051028,4,4,biography;homepage;issues,https://paulbroun.com,11208,1529
Dale Whitney Strong,AL,5.0,house,2022,R,2,20221208092255,4,1,homepage,https://dalestrongforcongress.com,2404,316
